coremap_id,source_key,outcome,name_en,name_my
6712,03_Township:69,reparented,Tonzang,တွန်းဇန်
6943,03_Township:65,renamed,Mindat,မင်းတပ်
6922,03_Township:64,renamed,Matupi,မတူပီ
6949,03_Township:63,renamed,Kanpetlet,ကန်ပက်လက်
6941,03_Township:66,reparented,Paletwa,ပလက်ဝ
6831,03_Township:216,renamed,Sagaing,စစ်ကိုင်း
6829,03_Township:211,renamed,Myinmu,မြင်းမူ
6875,03_Township:210,renamed,Myaung,မြောင်
6786,03_Township:218,renamed,Shwebo,ရွှေဘို
6783,03_Township:203,renamed,Khin-U,ခင်ဦး
6828,03_Township:223,renamed,Wetlet,ဝက်လက်
6762,03_Township:199,renamed,Kanbalu,ကန့်ဘလူ
5023,03_Township:204,reparented,Kyunhla,ကျွန်းလှ
6789,03_Township:225,renamed,Ye-U,ရေဦး
6788,03_Township:219,renamed,Tabayin,ဒီပဲယင်း
6766,03_Township:221,reparented,Taze,တန့်ဆည်
6822,03_Township:209,renamed,Monywa,မုံရွာ
6824,03_Township:192,renamed,Budalin,ဘုတလင်
6825,03_Township:190,renamed,Ayadaw,အရာတော်
6862,03_Township:193,renamed,Chaung-U,ချောင်းဦး
6816,03_Township:226,renamed,Yinmarbin,ယင်းမာပင်
6805,03_Township:200,renamed,Kani,ကနီ
6872,03_Township:217,renamed,Salingyi,ဆားလင်းကြီး
6814,03_Township:213,renamed,Pale,ပုလဲ
6588,03_Township:201,renamed,Katha,ကသာ
6607,03_Township:196,renamed,Indaw,အင်းတော်
6587,03_Township:222,renamed,Tigyaing,ထီးချိုင့်
6702,03_Township:191,renamed,Banmauk,ဗန်းမောက်
6761,03_Township:202,renamed,Kawlin,ကောလင်း
6706,03_Township:224,renamed,Wuntho,ဝန်းသို
6707,03_Township:215,renamed,Pinlebu,ပင်လည်ဘူး
6741,03_Township:197,renamed,Kale,ကလေး
6742,03_Township:198,renamed,Kalewa,ကလေးဝ
6798,03_Township:208,renamed,Mingin,မင်းကင်း
6726,03_Township:220,renamed,Tamu,တမူး
5022,03_Township:207,renamed,Mawlaik,မော်လိုက်
6715,03_Township:214,renamed,Paungbyin,ဖောင်းပြင်
6694,03_Township:194,renamed,Hkamti,ခန္တီး
6701,03_Township:195,renamed,Homalin,ဟုမ္မလင်း
6699,03_Township:206,renamed,Layshi,လေရှီး
6692,03_Township:205,renamed,Lahe,လဟယ်
6674,03_Township:212,renamed,Nanyun,နန်းယွန်း
7470,03_Township:309,renamed,Dawei,ထားဝယ်
7481,03_Township:312,renamed,Launglon,လောင်းလုံး
7471,03_Township:316,renamed,Thayetchaung,သရက်ချောင်း
7503,03_Township:317,renamed,Yebyu,ရေဖြူ
7465,03_Township:313,renamed,Myeik,မြိတ်
7439,03_Township:311,renamed,Kyunsu,ကျွန်းစု
7469,03_Township:314,renamed,Palaw,ပုလော
7468,03_Township:315,renamed,Tanintharyi,တနင်္သာရီ
5035,03_Township:308,reparented,Bokpyin,ဘုတ်ပြင်း
5924,03_Township:33,renamed,Bago,ပဲခူး
5865,03_Township:44,renamed,Thanatpin,သနပ်ပင်
5873,03_Township:36,renamed,Kawa,ကဝ
5922,03_Township:45,renamed,Waw,ဝေါ
5910,03_Township:39,renamed,Nyaunglebin,ညောင်လေးပင်
5925,03_Township:38,renamed,Kyauktaga,ကျောက်တံခါး
5911,03_Township:34,renamed,Daik-U,ဒိုက်ဦး
5920,03_Township:42,renamed,Shwegyin,ရွှေကျင်
6019,03_Township:43,renamed,Taungoo,တောင်ငူ
6020,03_Township:46,renamed,Yedashe,ရေတာရှည်
5941,03_Township:37,renamed,Kyaukkyi,ကျောက်ကြီး
5942,03_Township:41,renamed,Phyu,ဖြူး
5943,03_Township:40,renamed,Oktwin,အုတ်တွင်း
5971,03_Township:35,renamed,Htantabin,ထန်းတပင်
7139,03_Township:56,reparented,Pyay,ပြည်
7137,03_Township:54,reparented,Paukkhaung,ပေါက်ခေါင်း
6778,03_Township:53,reparented,Padaung,ပန်းတောင်း
7161,03_Township:55,reparented,Paungde,ပေါင်းတည်
7157,03_Township:59,reparented,Thegon,သဲကုန်း
7151,03_Township:57,reparented,Shwedaung,ရွှေတောင်
