source_key,level,action,outcome,coremap_id,target_parent_id,name_en,name_my,official,rename,reparent,reclassify,create,notes
03_Township:101,township,update_name_and_parent,reparented,6018,5878,Thandaunggyi,သံတောင်ကြီး,True,True,True,False,False,matched_preserve_geom
03_Township:100,township,update_name,renamed,5033,5032,Myawaddy,မြဝတီ,True,True,False,False,False,matched_preserve_geom
03_Township:98,township,update_name,renamed,5030,5031,Kawkareik,ကော့ကရိတ်,True,True,False,False,False,matched_preserve_geom
03_Township:99,township,update_name_and_parent,reparented,7502,5031,Kyainseikgyi,ကြာအင်းဆိပ်ကြီး,True,True,True,False,False,matched_preserve_geom
03_Township:61,township,update_name,renamed,6739,6740,Falam,ဖလမ်း,True,True,False,False,False,matched_preserve_geom
03_Township:62,township,update_name,renamed,6743,6746,Hakha,ဟားခါး,True,True,False,False,False,matched_preserve_geom
03_Township:68,township,update_name,renamed,6745,6746,Thantlang,ထန်တလန်,True,True,False,False,False,matched_preserve_geom
03_Township:67,township,update_name_and_parent,reparented,6718,6740,Tedim,တီးတိန်,True,True,True,False,False,matched_preserve_geom
03_Township:69,township,update_name_and_parent,reparented,6712,6740,Tonzang,တွန်းဇန်,True,True,True,False,False,matched_preserve_geom
03_Township:65,township,update_name,renamed,6943,6948,Mindat,မင်းတပ်,True,True,False,False,False,matched_preserve_geom
03_Township:64,township,update_name,renamed,6922,6921,Matupi,မတူပီ,True,True,False,False,False,matched_preserve_geom
03_Township:63,township,update_name,renamed,6949,6948,Kanpetlet,ကန်ပက်လက်,True,True,False,False,False,matched_preserve_geom
03_Township:66,township,update_name_and_parent,reparented,6941,6921,Paletwa,ပလက်ဝ,True,True,True,False,False,matched_preserve_geom
03_Township:216,township,update_name,renamed,6831,6861,Sagaing,စစ်ကိုင်း,True,True,False,False,False,matched_preserve_geom
03_Township:211,township,update_name,renamed,6829,6861,Myinmu,မြင်းမူ,True,True,False,False,False,matched_preserve_geom
03_Township:210,township,update_name,renamed,6875,6861,Myaung,မြောင်,True,True,False,False,False,matched_preserve_geom
03_Township:218,township,update_name,renamed,6786,6785,Shwebo,ရွှေဘို,True,True,False,False,False,matched_preserve_geom
03_Township:203,township,update_name,renamed,6783,6785,Khin-U,ခင်ဦး,True,True,False,False,False,matched_preserve_geom
03_Township:223,township,update_name,renamed,6828,6785,Wetlet,ဝက်လက်,True,True,False,False,False,matched_preserve_geom
03_Township:199,township,update_name,renamed,6762,6785,Kanbalu,ကန့်ဘလူ,True,True,False,False,False,matched_preserve_geom
03_Township:204,township,update_name,reparented,5023,6785,Kyunhla,ကျွန်းလှ,True,True,True,False,False,matched_preserve_geom
03_Township:225,township,update_name,renamed,6789,6785,Ye-U,ရေဦး,True,True,False,False,False,matched_preserve_geom
03_Township:219,township,update_name,renamed,6788,6785,Tabayin,ဒီပဲယင်း,True,True,False,False,False,matched_preserve_geom
03_Township:221,township,update_name_and_parent,reparented,6766,6785,Taze,တန့်ဆည်,True,True,True,False,False,matched_preserve_geom
03_Township:209,township,update_name,renamed,6822,6823,Monywa,မုံရွာ,True,True,False,False,False,matched_preserve_geom
03_Township:192,township,update_name,renamed,6824,6823,Budalin,ဘုတလင်,True,True,False,False,False,matched_preserve_geom
03_Township:190,township,update_name,renamed,6825,6823,Ayadaw,အရာတော်,True,True,False,False,False,matched_preserve_geom
03_Township:193,township,update_name,renamed,6862,6823,Chaung-U,ချောင်းဦး,True,True,False,False,False,matched_preserve_geom
03_Township:226,township,update_name,renamed,6816,6804,Yinmarbin,ယင်းမာပင်,True,True,False,False,False,matched_preserve_geom
03_Township:200,township,update_name,renamed,6805,6804,Kani,ကနီ,True,True,False,False,False,matched_preserve_geom
03_Township:217,township,update_name,renamed,6872,6804,Salingyi,ဆားလင်းကြီး,True,True,False,False,False,matched_preserve_geom
03_Township:213,township,update_name,renamed,6814,6804,Pale,ပုလဲ,True,True,False,False,False,matched_preserve_geom
03_Township:201,township,update_name,renamed,6588,6704,Katha,ကသာ,True,True,False,False,False,matched_preserve_geom
03_Township:196,township,update_name,renamed,6607,6704,Indaw,အင်းတော်,True,True,False,False,False,matched_preserve_geom
03_Township:222,township,update_name,renamed,6587,6704,Tigyaing,ထီးချိုင့်,True,True,False,False,False,matched_preserve_geom
03_Township:191,township,update_name,renamed,6702,6704,Banmauk,ဗန်းမောက်,True,True,False,False,False,matched_preserve_geom
03_Township:202,township,update_name,renamed,6761,6704,Kawlin,ကောလင်း,True,True,False,False,False,matched_preserve_geom
03_Township:224,township,update_name,renamed,6706,6704,Wuntho,ဝန်းသို,True,True,False,False,False,matched_preserve_geom
03_Township:215,township,update_name,renamed,6707,6704,Pinlebu,ပင်လည်ဘူး,True,True,False,False,False,matched_preserve_geom
03_Township:197,township,update_name,renamed,6741,6799,Kale,ကလေး,True,True,False,False,False,matched_preserve_geom
