postal_code,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,locality_type,township_admin_area_id,local_admin_area_id,match_status,match_method,review_reason
0217001,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Wuntho Township,ဝန်းသို မြို့နယ်,Shwe Wun Thi Dar Quarter,ရွှေဝန်းသီတာ ရပ်ကွက်,ward,6706,6758,linked_local_area,exact_local_under_township,Unique local admin under matched township
0217002,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Wuntho Township,ဝန်းသို မြို့နယ်,Saw Bwar Gyi Quarter,စော်ဘွားကြီး ရပ်ကွက်,ward,6706,6760,linked_local_area,exact_local_under_township,Unique local admin under matched township
0217003,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Wuntho Township,ဝန်းသို မြို့နယ်,Kya Maing Quarter,ကျမိုင်း ရပ်ကွက်,ward,6706,6756,linked_local_area,exact_local_under_township,Unique local admin under matched township
0217004,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Wuntho Township,ဝန်းသို မြို့နယ်,Sit Ke Gyi Quarter,စစ်ကဲကြီး ရပ်ကွက်,ward,6706,6755,linked_local_area,exact_local_under_township,Unique local admin under matched township
0218001,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kawlin Township,ကောလင်း မြို့နယ်,Myauk Inn Quarter,မြောက်အင်း ရပ်ကွက်,ward,6761,6750,linked_local_area,exact_local_under_township,Unique local admin under matched township
0218002,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kawlin Township,ကောလင်း မြို့နယ်,Kyaw Zay Yar (1) Quarter,ကျော်ဇေယျာ (၁) ရပ်ကွက်,ward,6761,6751,linked_local_area,exact_local_under_township,Unique local admin under matched township
0218003,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kawlin Township,ကောလင်း မြို့နယ်,Zay Yon Bo Te Quarter,ဈေးရုံဗိုလ်တဲ ရပ်ကွက်,ward,6761,6749,linked_local_area,exact_local_under_township,Unique local admin under matched township
0218004,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kawlin Township,ကောလင်း မြို့နယ်,Myo Ma Myo Kone Quarter,မြို့မမြို့ကုန်း ရပ်ကွက်,ward,6761,6748,linked_local_area,exact_local_under_township,Unique local admin under matched township
0218005,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kawlin Township,ကောလင်း မြို့နယ်,Pyin Oo Lwin Quarter,ပြင်ဦးလွင် ရပ်ကွက်,ward,6761,6679,linked_local_area,exact_local_under_township,Unique local admin under matched township
0218006,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kawlin Township,ကောလင်း မြို့နယ်,Set Yon Lel Pyin Quarter,စက်ရုံလယ်ပြင် ရပ်ကွက်,ward,6761,6723,linked_local_area,exact_local_under_township,Unique local admin under matched township
0218007,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kawlin Township,ကောလင်း မြို့နယ်,Kyaw Zay Yar (2) Quarter,ကျော်ဇေယျာ (၂) ရပ်ကွက်,ward,6761,6752,linked_local_area,exact_local_under_township,Unique local admin under matched township
0218008,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kawlin Township,ကောလင်း မြို့နယ်,Min Te Gyi Quarter,မင်းတဲကြီး ရပ်ကွက်,ward,6761,6753,linked_local_area,exact_local_under_township,Unique local admin under matched township
0221001,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kanbalu Township,ကန့်ဘလူ မြို့နယ်,No (1) Quarter,အမှတ် (၁) ရပ်ကွက်,ward,6762,6772,linked_local_area,exact_local_under_township,Unique local admin under matched township
0221002,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kanbalu Township,ကန့်ဘလူ မြို့နယ်,No (2) Quarter,အမှတ် (၂) ရပ်ကွက်,ward,6762,6769,linked_local_area,exact_local_under_township,Unique local admin under matched township
0221003,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kanbalu Township,ကန့်ဘလူ မြို့နယ်,No (3) Quarter,အမှတ် (၃) ရပ်ကွက်,ward,6762,6768,linked_local_area,exact_local_under_township,Unique local admin under matched township
0221004,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kanbalu Township,ကန့်ဘလူ မြို့နယ်,No (4) Quarter,အမှတ် (၄) ရပ်ကွက်,ward,6762,6765,linked_local_area,exact_local_under_township,Unique local admin under matched township
0221005,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Kanbalu Township,ကန့်ဘလူ မြို့နယ်,No (5) Quarter,အမှတ် (၅) ရပ်ကွက်,ward,6762,6764,linked_local_area,exact_local_under_township,Unique local admin under matched township
0222001,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Taze Township,တန့်ဆည် မြို့နယ်,Bo Mya Quarter,ဗိုလ်မြ ရပ်ကွက်,ward,6766,6796,linked_local_area,exact_local_under_township,Unique local admin under matched township
0222002,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Taze Township,တန့်ဆည် မြို့နယ်,Paw-U Quarter,ပေါ်ဦး ရပ်ကွက်,ward,6766,6795,linked_local_area,exact_local_under_township,Unique local admin under matched township
0223001,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Khin-U Township,ခင်ဦး မြို့နယ်,Mya Kan Thar Quarter,မြကန်သာ ရပ်ကွက်,ward,6783,6774,linked_local_area,exact_local_under_township,Unique local admin under matched township
0223002,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Khin-U Township,ခင်ဦး မြို့နယ်,Aung Chan Thar Quarter,အောင်ချမ်းသာ ရပ်ကွက်,ward,6783,6773,linked_local_area,exact_local_under_township,Unique local admin under matched township
0223003,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Khin-U Township,ခင်ဦး မြို့နယ်,Aung Thi Ri Quarter,အောင်သီရိ ရပ်ကွက်,ward,6783,6776,linked_local_area,exact_local_under_township,Unique local admin under matched township
0223004,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Khin-U Township,ခင်ဦး မြို့နယ်,Aung Min Ga Lar Quarter,အောင်မင်္ဂလာ ရပ်ကွက်,ward,6783,6777,linked_local_area,exact_local_under_township,Unique local admin under matched township
0223005,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Khin-U Township,ခင်ဦး မြို့နယ်,Mya Nandar Quarter,မြနန္ဒာ ရပ်ကွက်,ward,6783,6770,linked_local_area,exact_local_under_township,Unique local admin under matched township
0224001,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Ye-U Township,ရေဦး မြို့နယ်,Aung Min Ga Lar Quarter,အောင်မင်္ဂလာ ရပ်ကွက်,ward,6789,6791,linked_local_area,exact_local_under_township,Unique local admin under matched township
0224002,Sagaing Region,စစ်ကိုင်းတိုင်းဒေသကြီး,Ye-U Township,ရေဦး မြို့နယ်,Bo Aung Zay Ya Quarter,ဗိုလ်အောင်ဇေယျ ရပ်ကွက်,ward,6789,6782,linked_local_area,exact_local_under_township,Unique local admin under matched township
