postal_code,action,region_name_en,region_name_my,township_name_en,township_name_my,locality_name_en,locality_name_my,inferred_locality_type,matched_township_coremap_id,matched_local_coremap_id,match_method,confidence,source_row_count_en,source_row_count_my,duplicate_extra_source_rows,review_reason
0102216,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Pin Laung Village Tract,ပင်လောင် ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102217,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,In Htauk Ga Village Tract,အင်ထောက်ဂါး ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102218,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Ka Yawng Htein Rawt Village Tract,ကရောင်ထိန်ရော့ ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102219,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Sha Dan Pong War Village Tract,ရှဒန်ပုန်ဝါ ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102220,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,In Trein Hka Yam Village Tract,အင်တျိန်ခရမ် ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102221,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Hkan Dauk Yang Village Tract,ခန်ဒေါက်ယန် ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102222,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Jing Ma Yang Village Tract,ဂျိန်မာယန် ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102223,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,In Waing Kawng Village Tract,အင်ဝိုင်းကောင် ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102224,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,Myit Son Village Tract,မြစ်ဆုံ ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
0102225,link_township,Kachin State,ကချင်ပြည်နယ်,Injangyang Township,အင်ဂျန်းယန် မြို့နယ်,In Pauk Chet Village Tract,အင်ပေါက်ချက် ကျေးရွာအုပ်စု,village_tract,6668,,exact_township_name,90,1,1,0,Unique township match; locality not uniquely linked
