coremap_id,hierarchy_level,admin_area_type,canonical_name,coremap_path,parent_id,classification,action,preserve_existing_geom,review_reason,point_x,point_y,geom_md5
5601,district,district,အလုံခရိုင်,country:11:မြန်မာ > state_region:13:ရန်ကုန်တိုင်းဒေသကြီး > district:5601:အလုံခရိုင်,13,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.1210366699507,16.7977361,ef4f938a6fa76d8867570177a3aa98a1
5696,district,district,အင်းစိန်ခရိုင်,country:11:မြန်မာ > state_region:13:ရန်ကုန်တိုင်းဒေသကြီး > district:5696:အင်းစိန်ခရိုင်,13,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.065162265939,16.8828206,d08cf97c1e8d95a7e451968bebe01510
5706,district,district,မရမ်းကုန်း မြို့နယ်,country:11:မြန်မာ > state_region:13:ရန်ကုန်တိုင်းဒေသကြီး > district:5706:မရမ်းကုန်း မြို့နယ်,13,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.15011853895,16.89397855,227e05538c9046ea1fe502cd3f41d126
5802,district,district,မင်္ဂလာဒုံခရိုင်,country:11:မြန်မာ > state_region:13:ရန်ကုန်တိုင်းဒေသကြီး > district:5802:မင်္ဂလာဒုံခရိုင်,13,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.1030400966295,16.99308925,326d3785c13ebe80d3899da7d453f468
5858,district,district,လှည်းကူးခရိုင်,country:11:မြန်မာ > state_region:13:ရန်ကုန်တိုင်းဒေသကြီး > district:5858:လှည်းကူးခရိုင်,13,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.202686251361,17.2909161,e7f5d15f5d6a5d0872c723ec8aea577f
5882,district,district,ကျိုက်ထိုခရိုင်,country:11:မြန်မာ > state_region:5089:မွန်ပြည်နယ် > district:5882:ကျိုက်ထိုခရိုင်,5089,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,97.1874373191632,17.3102242,c77f9cc5cb4ce9dacbb4fc00ca2b885b
5960,district,district,မယ်စဲ့ခရိုင်,country:11:မြန်မာ > state_region:6007:ကယားပြည်နယ် > district:5960:မယ်စဲ့ခရိုင်,6007,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,97.5431188409926,18.7451515,9ec2bee39dcccdd6addd8d911483abd6
5974,district,district,ဘော်လခဲခရိုင်,country:11:မြန်မာ > state_region:6007:ကယားပြည်နယ် > district:5974:ဘော်လခဲခရိုင်,6007,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,97.2184929856452,18.9723844,6720143e94ccd3fcaec4049b8186d9fa
5991,district,district,လယ်ဝေးခရိုင်,country:11:မြန်မာ > state_region:6031:နေပြည်တော် ပြည်ထောင်စုနယ်မြေ > district:5991:လယ်ဝေးခရိုင်,6031,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,95.9563056413749,19.67885565,4b55011a556245b3ac1cb45cfb63d5fa
6017,district,district,သံတောင်ကြီးခရိုင်,country:11:မြန်မာ > state_region:5879:ကရင်ပြည်နယ် > district:6017:သံတောင်ကြီးခရိုင်,5879,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.7407115403549,19.0545611,fcf475fb34d4b1a73cdba73caa6be580
6037,district,district,ပျဉ်းမနားခရိုင်,country:11:မြန်မာ > state_region:6031:နေပြည်တော် ပြည်ထောင်စုနယ်မြေ > district:6037:ပျဉ်းမနားခရိုင်,6031,manual_review,manual_review,True,Active CoreMap area not claimed by an official matched source row,96.4630959854734,19.6438823,05fd24cfd845da4077e9fdd8ce507ee2
