duplicate_kind,source_key,source_level,source_name_en,source_name_my,parent_path,coremap_ids,review_reason
repeated_create_same_normalized_path,_05_Ward:1705;_05_Ward:1722,ward_village_tract,Ah Lel Paing Ward,အလယ်ပိုင်းရပ်ကွက်,state_region:MMR012:Rakhine > district:MMR012D003:Kyaukpyu > township:MMR012011:Kyaukpyu > ward_village_tract:MMR012011701505:Ah Lel Paing Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_06-VillageTract:13102;_05_Ward:2643,ward_village_tract,Min Ga Lar,မင်္ဂလာ,state_region:MMR222:Shan > district:MMR014D001:Taunggyi > township:MMR014001:Taunggyi > ward_village_tract:MMR014001003:Min Ga Lar,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:2601;_05_Ward:2604,ward_village_tract,No (1) Ward,အမှတ် (၁) ရပ်ကွက်,state_region:MMR222:Shan > self_administered_zone:MMR014S002:Pa-O Self-Administered Zone > township:MMR014009:Pinlaung > ward_village_tract:MMR014009702501:No (1) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:2602;_05_Ward:2605,ward_village_tract,No (2) Ward,အမှတ် (၂) ရပ်ကွက်,state_region:MMR222:Shan > self_administered_zone:MMR014S002:Pa-O Self-Administered Zone > township:MMR014009:Pinlaung > ward_village_tract:MMR014009702502:No (2) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:2603;_05_Ward:2606,ward_village_tract,No (3) Ward,အမှတ် (၃) ရပ်ကွက်,state_region:MMR222:Shan > self_administered_zone:MMR014S002:Pa-O Self-Administered Zone > township:MMR014009:Pinlaung > ward_village_tract:MMR014009702503:No (3) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_06-VillageTract:11996;_06-VillageTract:11997,ward_village_tract,Man Kat,မန်ကပ်,state_region:MMR222:Shan > district:MMR015D001:Lashio > township:MMR015001:Lashio > ward_village_tract:MMR015001010:Man Kat,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_06-VillageTract:12026;_06-VillageTract:12027,ward_village_tract,Pang Hto Len,ပန်ထိုလင်,state_region:MMR222:Shan > district:MMR015D001:Lashio > township:MMR015001:Lashio > ward_village_tract:MMR015001025:Pang Hto Len,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_06-VillageTract:12617;_06-VillageTract:12616,ward_village_tract,Pang Hpein,ပန်ဖိန်း,state_region:MMR222:Shan > district:MMR015D007:Matman > township:MMR015005:Pangsang (Panghkam) > ward_village_tract:MMR015005020:Pang Hpein,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_06-VillageTract:12632;_06-VillageTract:12633,ward_village_tract,Yawng Lan,ယောင်လန်း,state_region:MMR222:Shan > district:MMR015D007:Matman > township:MMR015005:Pangsang (Panghkam) > ward_village_tract:MMR015005034:Yawng Lan,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_06-VillageTract:12583;_06-VillageTract:12584,ward_village_tract,Man Htan,မန်ထန်,state_region:MMR222:Shan > district:MMR015D007:Matman > township:MMR015005:Pangsang (Panghkam) > ward_village_tract:MMR015005042:Man Htan,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:2410;_05_Ward:2407,ward_village_tract,No (1) Ward,ရပ်ကွက် (၁),state_region:MMR222:Shan > district:MMR015D007:Matman > township:MMR015005:Pangsang (Panghkam) > ward_village_tract:MMR015005701501:No (1) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
repeated_create_same_normalized_path,_05_Ward:2411;_05_Ward:2408,ward_village_tract,No (2) Ward,ရပ်ကွက် (၂),state_region:MMR222:Shan > district:MMR015D007:Matman > township:MMR015005:Pangsang (Panghkam) > ward_village_tract:MMR015005701502:No (2) Ward,,Repeated create_mimu_placeholder for same normalized hierarchy path
