source_ts_pcode,source_ts_name,source_st_pcode,source_st_name,source_dt_pcode,source_dt_name,boundary_count,village_count,status,core_township_id,core_public_id,core_canonical_name,match_method,candidate_coremap_ids,evidence,review_reason
MMR017025,Kyaiklat,MMR017,Ayeyarwady,MMR017D006,Pyapon,94,393,mapped,7309,ff251041-06ea-45a0-aa08-431814657fff,ကျိုက်လတ်,name,7309,exact_normalized_en=[7309]|spatial_support=7309:1.00;7525:0.11;7427:0.09;7323:0.01,
MMR017026,Dedaye,MMR017,Ayeyarwady,MMR017D006,Pyapon,94,347,mapped,7427,7e15f3d3-627f-4733-b020-b6db87e6b3bf,ဒေးဒရဲ,name,7427,exact_normalized_en=[7427]|spatial_support=7427:1.00;5112:0.07;7309:0.07;5125:0.02;7375:0.01,
MMR018001,Zay Yar Thi Ri,MMR018,Nay Pyi Taw,MMR018D001,Oke Ta Ra,15,63,mapped,6046,e6f440e6-4c98-453b-bd80-eb1c76d55803,ဇေယျာသီရိ,name,6046,exact_normalized_en=[6046]|spatial_support=6046:0.95;6059:0.25;6029:0.17;6032:0.17;6038:0.10,
MMR018002,Za Bu Thi Ri,MMR018,Nay Pyi Taw,MMR018D002,Det Khi Na,15,5,mapped,6029,0a007cb6-42ca-4887-8528-30777e3cb976,ဇမ္ဗူသီရိ,name,6029,exact_normalized_en=[6029]|spatial_support=6029:1.00;6032:0.25;6059:0.25;7079:0.17;5990:0.11,
MMR018003,Tatkon,MMR018,Nay Pyi Taw,MMR018D001,Oke Ta Ra,61,187,mapped,6067,5e55abe3-6b48-408a-9a2e-5660d7e44b05,တပ်ကုန်း,name,6067,exact_normalized_en=[6067]|spatial_support=6067:1.00;6069:0.07;7079:0.03;6059:0.03;6046:0.01,
MMR018004,Det Khi Na Thi Ri,MMR018,Nay Pyi Taw,MMR018D002,Det Khi Na,11,29,mapped,6032,1123f10f-3684-47d5-b6a8-8a6d992fa542,ဒက္ခိဏသီရိ,name,6032,exact_normalized_en=[6032]|spatial_support=6032:0.94;6029:0.27;5990:0.16;6059:0.16;7079:0.07,
MMR018005,Poke Ba Thi Ri,MMR018,Nay Pyi Taw,MMR018D001,Oke Ta Ra,30,71,mapped,6059,cf19b0d8-dcda-403b-af29-83858c97f8f6,ပုဗ္ဗသီရိ,name,6059,exact_normalized_en=[6059]|spatial_support=6059:0.91;6046:0.25;7079:0.22;6029:0.19;6032:0.17,
MMR018006,Pyinmana,MMR018,Nay Pyi Taw,MMR018D002,Det Khi Na,30,113,mapped,6038,ef532f22-75cc-4a7d-9e20-a2b6e405e2aa,ပျဉ်းမနား,name,6038,exact_normalized_en=[6038]|spatial_support=6038:0.98;6029:0.12;6032:0.12;6059:0.11;6046:0.10,
MMR018007,Lewe,MMR018,Nay Pyi Taw,MMR018D002,Det Khi Na,68,276,mapped,5990,1f29d26d-0314-4b92-9405-9cdf16a4b294,လယ်ဝေး,name,5990,exact_normalized_en=[5990]|spatial_support=5990:0.98;6032:0.21;6029:0.17;6038:0.04;6059:0.01,
MMR018008,Oke Ta Ra Thi Ri,MMR018,Nay Pyi Taw,MMR018D001,Oke Ta Ra,13,52,mapped,7079,dbe4fdae-72a9-46ae-9b5c-31ef4f54acb7,ဥတ္တရသီရိ,name,7079,exact_normalized_en=[7079]|spatial_support=7079:0.98;6059:0.21;6029:0.21;6032:0.17;5990:0.14,
