admin_public_id,language_code,alias_name,normalized_alias,preserve_primary,replace_primary,source_postal_code,reason,manifest_version,production_apply
249b5011-a955-4b95-b7a1-b8a110c959cc,en,Pan Mu Village Tract,panmu,true,false,0115224,postal EN spelling not in primary/alias set,v3,false
5adae359-bb41-4553-9e6a-273b3e174947,en,Pan Hkat Village Tract,panhkat,true,false,0115237,postal EN spelling not in primary/alias set,v3,false
c0d57c52-ae08-42af-af92-2f354d59c9e8,en,In Baw Mai Kyin Village Tract,inbawmaikyin,true,false,0115241,postal EN spelling not in primary/alias set,v3,false
6f377a4a-3094-412b-8f2e-4607564909d4,en,Thein Lon Village Tract,theinlon,true,false,0115244,postal EN spelling not in primary/alias set,v3,false
5a4bd838-a49e-42df-b571-356985c81863,en,Nar Lon Village Tract,narlon,true,false,0115247,postal EN spelling not in primary/alias set,v3,false
af49a091-5714-43d3-86c2-577d22db5350,en,Nawng Mi Village Tract,nawngmi,true,false,0116207,postal EN spelling not in primary/alias set,v3,false
c4b004e2-2664-417f-893b-80d7015e269e,en,Yin Kyang Village Tract,yinkyang,true,false,0117201,postal EN spelling not in primary/alias set,v3,false
874d1177-7552-49fb-8cf3-213f7f63c9b9,en,Laung Din Village Tract,laungdin,true,false,0117207,postal EN spelling not in primary/alias set,v3,false
2216dd91-b750-4ae6-a5fe-1fe57b82e177,en,Myaw Jaung Village Tract,myawjaung,true,false,0117209,postal EN spelling not in primary/alias set,v3,false
087725c0-efbd-4e79-b5a9-9a78413e542c,en,La Za Village Tract,laza,true,false,0117219,postal EN spelling not in primary/alias set,v3,false
2fcbb3c5-1d1a-4006-bdc5-4ddc7a72f323,en,Ka Khin Village Tract,kakhin,true,false,0118205,postal EN spelling not in primary/alias set,v3,false
fa13443c-5a74-4ac2-83a1-6bc51918debb,en,Shi Lang Dam Village Tract,shilangdam,true,false,0118218,postal EN spelling not in primary/alias set,v3,false
cd9dcd64-8144-41c8-b9fa-ccaff5181bc1,en,La Jar Ga Village Tract,lajarga,true,false,0118220,postal EN spelling not in primary/alias set,v3,false
2b46bd50-aeeb-47df-927c-570a285546c6,en,Khin Lum Village Tract,khinlum,true,false,0118221,postal EN spelling not in primary/alias set,v3,false
0312ec4b-c11a-4f7a-823e-4c892797a065,en,Pi Naung Sut Village Tract,pinaungsut,true,false,0201200,postal EN spelling not in primary/alias set,v3,false
